# Reactant analysis
# source: /root/workspace/nova-4090/data/rxn5.csv
# molecules_analyzed: 3454
# reactant_position: 1 = first reactant after rxn:N, 2 = second, 3 = third (if present)
# sorted within each position by count (desc), then max_score (desc)
reactant_position,reactant_id,count,avg_score,max_score
1,179975,3,0.1073440409,0.1101801169
1,182816,3,0.1069165687,0.1101499724
1,196081,3,0.1070372144,0.1101488425
1,198745,3,0.1024163083,0.1097506079
1,198425,3,0.1070938146,0.1096526193
1,192966,3,0.1078753047,0.1084097587
1,181581,3,0.1065447675,0.1083149463
1,192168,3,0.1067113679,0.1082984428
1,179184,3,0.1038539165,0.1079253205
1,182634,3,0.1035002773,0.1077531267
1,196772,3,0.1053636389,0.1070875009
1,182895,3,0.1053219958,0.1066930253
1,199129,3,0.1044747744,0.1064269225
1,181429,3,0.1059755419,0.1063505305
1,198527,3,0.1044040628,0.1062006354
1,182442,3,0.0878790075,0.1044728160
1,181428,3,0.0858243376,0.1041661905
1,192235,3,0.0939850075,0.0958758285
1,198622,3,0.0605625471,0.0648973313
1,182432,3,0.0527403276,0.0610587663
1,181432,2,0.1243824901,0.1379714056
1,198416,2,0.1247087075,0.1306057183
1,181076,2,0.1259022497,0.1284079266
1,198426,2,0.1235204102,0.1248541761
1,192174,2,0.1143894456,0.1190673797
1,182143,2,0.1074071534,0.1190537666
1,181062,2,0.1144428849,0.1172765228
1,179203,2,0.1106642454,0.1164617333
1,180875,2,0.1124971294,0.1156819828
1,198238,2,0.1123821589,0.1156556463
1,179541,2,0.1153841594,0.1153841594
1,191335,2,0.1103860451,0.1153198572
1,194150,2,0.1133505289,0.1151251524
1,177188,2,0.1112235320,0.1149036816
1,199081,2,0.1117836966,0.1143901774
1,182506,2,0.1124351185,0.1141275406
1,191694,2,0.1123098899,0.1139809247
1,180141,2,0.1125452016,0.1133060911
1,196871,2,0.1118357249,0.1126714908
1,197408,2,0.1099359285,0.1126391234
1,198919,2,0.1075043971,0.1122027768
1,176758,2,0.1119982917,0.1121325386
1,197213,2,0.1087840900,0.1117555181
1,182849,2,0.1089485226,0.1117505164
1,188069,2,0.1086590146,0.1116161490
1,196342,2,0.1078012495,0.1113996095
1,181961,2,0.1083969500,0.1108796159
1,196188,2,0.1071081852,0.1108238896
1,199069,2,0.1087362727,0.1107534617
1,177277,2,0.1058081286,0.1103630189
1,196189,2,0.1087446832,0.1102707293
1,196356,2,0.1081265605,0.1102647867
